county_fips,total_returns,total_agi_amount,total_salaries_wages_amount,total_salaries_wages_returns,total_ordinary_dividends_amount,total_ordinary_dividends_returns,total_net_capital_gains_amount,total_net_capital_gains_returns,total_charitable_contributions_amount,total_net_investment_income_tax_amount,total_rent_royalty_amount,total_rent_royalty_returns,total_tax_payments_amount,state_fips,mean_agi_per_return,mean_charitable_contributation_per_return,mean_tax_payment_per_return,mean_salary_per_salary_return,mean_dividend_per_dividend_return,mean_capgain_per_capgain_return,mean_rent_royalty_per_rent_royalty_return
01001,25027.811311349782,1747135.4993506016,1268469.6371924328,20800.105155819663,14156.08716317889,3313.8384588237845,38041.425883180615,3071.4191529841437,21947.000823311962,764.8737961149201,4986.858414473126,1004.2926854330871,211156.31534160025,01,69.80776215770409,0.876904518349125,8.436867000265567,60.983808864905065,4.271809666969542,12.385618500236331,4.965542900795512
01003,108932.02194623997,9495982.511477558,5619349.143407665,81805.45502430112,187160.91138856977,21854.44374703962,649823.4636192116,21223.65783918054,117984.90189701896,14813.870460704607,52365.43749171026,7054.485594281925,1293655.652246869,01,87.17347150835047,1.0831057735736032,11.875806848470257,68.69161893590571,8.563975068636665,30.617882579108787,7.422998713634843
01005,9065.018543376149,466479.114707091,308313.92877779907,7272.001745990966,5625.924369853989,865.6713104858683,15027.852863870652,837.2510945505746,4186.144475086956,269.56688163095487,221.58051001314536,267.0911919953489,66599.97559368439,01,51.459256533782764,0.4617910548176199,7.346921054270683,42.39739476792228,6.498915121371382,17.949039376218916,0.8296062043745867
01007,7907.4959046564445,468250.8902098127,361898.31838440266,6687.47349375081,1606.8347580783445,527.078752328088,5356.938625913878,497.99321841493605,3823.653604798129,41.62148221257765,280.12678312187137,171.88055086776728,54017.27878064338,01,59.21607748593032,0.48354797155778667,6.831148499088632,54.11585088487945,3.048566748291433,10.757051356973278,1.6297759211708662
01009,23365.946988017717,1502423.0583455376,1099289.017786078,19157.02609345302,9868.103075529662,2197.219168215013,30694.6623684318,2120.060209901382,13563.030593325866,663.4449127914253,2851.0207351146255,653.4540465713311,178644.2012813951,01,64.299686167909,0.5804614125111693,7.6454937338086735,57.38307253033203,4.4911783122419955,14.47820313077788,4.363001117024084
01011,3710.7867134402527,166687.75355119558,122554.5049596332,3113.137484830361,3191.724042982049,269.84994769768707,7036.909382344656,253.3398526781609,2123.9738810859017,152.90660281857058,209.60486525666238,92.84850172228845,22509.30946540086,01,44.919788288413955,0.5723783243572023,6.065913026979819,39.36687844877219,11.827773435619628,27.776559068597226,2.2574932429560826
01013,7549.050345012915,390440.7961033346,283168.04694613145,6353.975776078599,6426.420709938709,585.4367059560656,8700.814123012235,552.8327255393339,3860.37178192671,260.1662407360082,1604.5526473398538,238.26254228600826,50242.35446831217,01,51.72051824522129,0.511371842218136,6.65545362291874,44.565490477977654,10.977140047007888,15.738601788676446,6.734389014508889
01015,47289.02868636392,2717964.8436222505,1877171.8847137033,38545.8010610326,25499.779505081628,4884.512894558342,63149.33758980837,4377.577594100525,40123.56084104912,1256.3410188197804,7756.377956913345,1569.9674192053924,337970.9075642942,01,57.47559040911306,0.8484750470804022,7.146920056358657,48.699776189407224,5.220536838686618,14.425635236006334,4.940470650555972
01017,13584.255962821004,709046.6093241334,546302.7498634183,11659.524554963727,7725.946322738427,1174.2426541741704,17629.91297938029,1132.0913510770765,12420.856707682284,312.822339698883,1114.268576522979,454.7824860477221,89649.37470325067,01,52.19620502328106,0.9143567922805012,6.599505703412366,46.85463350483229,6.579514289720624,15.572871361138052,2.450113209518043
01019,10198.950826901788,608808.5618260903,412581.00028933847,7923.810114965743,6214.280887845199,1149.4648130064966,18045.305771122446,1154.4808834903413,7865.557065664679,263.2147183706983,1184.0216794701573,407.22086202181873,69880.97193077212,01,59.69325395904793,0.7712123726410846,6.851780454362715,52.06851177694106,5.4062384663966885,15.630666587190326,2.9075663599148265
01021,18358.949177848514,1122409.602395942,832752.1083135817,15161.33953430814,7161.915939119195,1554.8977487052266,22251.475263988683,1457.734820509796,9388.521457072711,362.9796467579828,4348.127672522837,518.6994272944968,132578.0085614128,01,61.1369197399498,0.5113866467041962,7.22143774554256,54.926024605488976,4.606036599566093,15.264419118565709,8.38275009325226
01023,4677.8661000295615,266425.0491785155,202013.73756960296,3790.15605539644,1082.3201496614959,294.03989418412493,7240.983844421345,326.0391345487499,1785.074310997388,44.77195945945946,857.4378831494216,163.09558078788848,32786.21253374138,01,56.9543983263719,0.38160012980835584,7.008796710434741,53.299583082331125,3.6808615805845633,22.208940820687463,5.257272324653294
01025,9434.961082032338,538324.3892671001,400763.0510281333,7804.69853792944,4345.11319111885,872.4009577710057,14299.563125816283,798.8332607749238,6575.063996517196,249.90727035263387,2293.7257292120157,384.5624727905964,70238.42363499387,01,57.05634443922289,0.6968830013553055,7.4444847227567115,51.34894692991619,4.980637804686349,17.900560514899833,5.964507437679716
01027,5678.5215784502825,339294.82772886066,229899.71892116847,4728.166592056619,1797.859966958383,496.5522152384693,6339.081540219877,437.5014042327611,2776.244059861795,42.13248976487513,344.3708859781511,154.90978892852291,44812.548517787596,01,59.750557084517965,0.48890261690604614,7.891587255360458,48.62343879917492,3.6206866302971994,14.489282728901449,2.223041476978886
01029,5983.53265894506,379307.76301059144,273962.37015287246,4980.763072272028,1423.1540738922463,462.24552490048984,10304.122767719184,440.2550821497123,6224.19609722422,102.4380332415311,1733.5678605470152,189.90426067615093,46647.41198664101,01,63.39194329349013,1.040220961762343,7.7959651338922065,55.00409599445204,3.0787838869800126,23.404892267013476,9.128641213075873
01031,21891.153286013625,1487194.4220148292,1017700.941375942,17979.785376005708,18784.406168426573,2824.966632004069,57579.11704048311,2835.12070750656,13674.103688736039,1041.4303846977539,2517.2280259575064,1092.9522548212753,182931.30359247568,01,67.93586443730243,0.6246406258309148,8.356403210120112,56.602507765975844,6.649425857147439,20.309229475849357,2.303145462076141
01033,24284.35661385684,1650994.9670864304,1105931.266758046,19520.393733857836,15675.379084891532,2915.4734956922143,52811.581192257334,2793.910194476645,21081.444811689187,1170.5229755767036,4966.762341303936,1079.4659967026994,220981.46185637085,01,67.98594639910534,0.868108023074408,9.099745378070965,56.65517211570505,5.3766151906552535,18.902390383435353,4.6011290364636235
01035,4562.8249735994605,227129.23715322858,164031.50306151187,3704.984507496052,1639.630983424083,299.54836318842234,5334.122388318863,323.18524082435596,1439.8404773554635,110.29807835618854,3899.085432852853,256.52240071207194,28555.101321193033,01,49.77820505222095,0.3155589981396155,6.258206590525182,44.27319540193426,5.4736769914937575,16.50484525442126,15.199785367786642
01037,4943.309035475718,298861.32689864957,209000.1549844033,4090.0276412679236,2847.3871285363844,450.73929507936117,6957.9868064582115,438.0828954839758,3362.841457085132,117.42888888825338,440.16829672604246,105.25171846972582,37504.91979989209,01,60.45774697755443,0.6802814537694607,7.587006907870331,51.09993704580747,6.317148648056185,15.882808660610491,4.182053301606194
01039,14378.384870763903,893160.6073431822,597221.0846751442,11630.319656803356,6921.173896272799,1561.5180542966245,26894.653077255152,1641.4603692357143,7597.522655087835,491.40529593403045,5192.106627716573,725.5556239708019,114132.7657869133,01,62.118284867953314,0.5283988934345579,7.937801555095637,51.350358571252976,4.4323367746077045,16.384588736539317,7.156042150567791
01041,5540.845131239343,305982.25846097764,228686.08700406845,4612.900710854748,1958.0905674084959,417.6542529655426,7024.532874751587,427.8174622056638,1586.9244155225028,137.0503565563611,290.23025638656867,115.53830363070877,37271.529916596795,01,55.22303028031707,0.2864047591901471,6.726686820113329,49.575332602746194,4.688305107646163,16.419462727247673,2.5119830157297613
01043,36135.35598543832,2500654.609179325,1770305.2025636397,29668.680797167253,20240.232387460648,4566.0828827506975,85132.06130397868,4369.844105271816,28979.93182667408,1846.3259494464432,8411.956298679113,1538.2312787359142,315550.749057527,01,69.20243459582987,0.8019827406253393,8.73246548850069,59.66915801435524,4.432734338643353,19.481715881185476,5.468590071573555
01045,20342.422977772698,1218642.8213964542,865003.5137485147,16666.255389888498,9052.525243356004,2202.66460516809,28327.008283763847,2167.143015989493,10723.694940821239,437.99951035172256,2985.654164664393,962.2770588415026,155650.76988196876,01,59.906473419022575,0.5271591762956932,7.651535416997364,51.90149157760517,4.109806468999481,13.07113008913722,3.1026970218523755
01047,13897.331072979261,629143.7323380543,467087.7401858205,11896.166753557844,6505.144932436913,1087.90843715423,10250.613690297609,920.7996504347389,9524.129593663722,174.52041702867072,2229.1153122860096,497.4108183348037,88036.9129665838,01,45.27083143045399,0.6853207672501661,6.334807201776676,39.263718293636586,5.979496720747186,11.13229537550103,4.4814371342957156
01049,28453.751914789973,1607829.8442217186,1169083.0925169075,23457.198975339914,15441.060482348961,2689.779623577532,43153.71684851823,2728.485753947107,13312.878621096506,950.5166589854141,5589.765743925348,1152.7666743654236,202019.4655542199,01,56.50677805291417,0.4678777920382657,7.099923629024551,49.83898946101541,5.740641481182623,15.81599492908871,4.849000121383982
01051,37078.67222130615,2613497.715023289,1790117.8028495128,30189.916972832172,21621.701242995405,4903.498209126524,70087.43356150585,4506.80947603881,30906.827613220892,1817.0432247372507,6922.390431769991,1534.5314187003112,314955.8823853124,01,70.48520236713117,0.8335473133652614,8.494260002232021,59.29522113162601,4.409444099062279,15.551452515163367,4.511077679747338
01053,13500.860669046078,727455.1302208542,529382.64685662,11000.799377805666,5772.83077210282,1057.1325359293253,14998.87963178787,1060.629591225553,6832.6927230768515,303.5306312982134,4258.740255530796,672.1930380815276,91444.10616525005,01,53.882130039954966,0.5060931218068503,6.773205679761389,48.122198094500305,5.460839181368989,14.141487052474869,6.335591138648882
01055,42062.644599157546,2525346.929445812,1753282.8664033758,33687.473093080334,22647.37834607878,4326.0430869250495,86719.05795176761,4104.621248375041,31342.939584283067,1557.8448180915632,7223.398473686103,1568.1784079704587,328580.9876349329,01,60.03775924009284,0.7451490481155059,7.811705392425894,52.045544097622255,5.235125469398996,21.127176590555923,4.6062351305006475
01057,6194.7160128178775,360965.817303001,266693.62563034135,5047.105018784832,2916.7932097936027,594.4567120152302,6342.150158665328,579.3082843640223,3438.568670718661,121.76755286626963,320.46174261268294,264.1626891915171,42436.71766401735,01,58.26995403116202,0.5550809211598565,6.850470235634509,52.84091070776885,4.906653673579639,10.947798141067297,1.2131226540488056
01059,11812.686194056694,651243.2328381523,480537.925255718,9672.604230753019,3646.6092061112136,851.0271137904956,12782.640984905129,868.7032876658097,4043.197527282869,223.65375897844356,1599.680516470802,349.30044951459536,77955.39315728519,01,55.130833253304544,0.34227587704116946,6.5992943414095615,49.68030468236245,4.284950675506832,14.71462254880128,4.579669217986392
01061,10460.144566670837,596204.4059021478,421073.946727618,8348.578714515254,3655.2967680785478,911.8710666338369,14424.25233633993,959.1212103077562,3719.810151298147,150.7488553454126,2013.7707807703873,528.0375283717138,71213.37507976212,01,56.99772140834784,0.3556174704459229,6.808067959851083,50.436602579492714,4.008567550642922,15.03902966728426,3.813688748563315
01063,3056.5775840303318,120941.56512989289,93789.19847987537,2527.1090526031353,934.619791512736,247.05500128774028,2405.558853953363,126.76211425845159,960.2045860442729,0,76.36226034308778,62.27043390514632,18389.772253883275,01,39.567641195098396,0.31414369818749033,6.016458522094816,37.11323750879076,3.7830433977906077,18.976954337072186,1.2263004375303839
01065,6487.3284361373335,325425.12466378335,258605.91305320724,5614.614926840234,1550.4997215538917,384.1161236006092,7347.935281512435,346.3883447634412,2522.9547282434555,62.199839271363516,493.6413070029939,176.91109799637653,41122.51661777446,01,50.163195507571224,0.3889050405078097,6.3388985192584935,46.05942106856903,4.036539021116562,21.212998048564703,2.790335443020678
01067,7357.89338641659,482787.92132173857,335285.8291679479,5846.457285774754,4636.981668094417,935.6033200131909,16479.34296999493,924.3772720874407,4549.253818489755,402.03224442352257,892.0970586535988,398.79215799235635,62802.828591067955,01,65.61496558417298,0.6182821059745354,8.535436067476635,57.348546782980016,4.956140672982051,17.827507736944966,2.2369974954991405
